variant,bwaves,bzip2,cactusadm,gromacs,hmmer,lbm,libq,mcf,omnetpp,sjeng,sphinx3,tonto
STEER_ModN_32_BASE,3991278019300,4941941438148,1275201837338,591371153802,2596811706632,2790593682448,28263911390,1728934030538,322604801376,3348427447508,1169353795896,517061582180
STEER_ModN_32_BWifcw,3804702051150,4830083398140,1196267423494,566760369890,2570581741728,2738034613314,26837684302,1697971585596,299951408900,3260203611236,1129766313676,494986212578
STEER_RegBased_4_BASE,4166552188656,5614753599312,1329277788124,657968993968,2957997011970,2784848785862,27519405342,1818944776220,356900248848,3912374449412,1241467361992,544659834290
STEER_RegBased_4_BWifcw,3967156290812,5578744295124,1200884094124,642214656798,2908357057320,2722844300462,26642851378,1785583450508,333330960534,3838767738806,1219291232588,524518563998
STEER_RegBased_32_BASE,,5622319043198,,,2956976261668,,27516927152,1818749893532,356953647336,3912327942952,,
STEER_RegBased_32_BWifcw,,5574194390050,,,2911162297186,,26640247920,1785719919698,333153023060,3838480468108,,
STEER_PCLowBitHash_1_BWifcw_PCBIT1,,,,,,,27179872434,,,,,
STEER_PCLowBitHash_1_BWifcw_PCBIT2,,,,,,,27748670092,,,,,
STEER_PCLowBitHash_1_BWifcw_PCBIT3,,,,,,,33012005884,,,,,
STEER_PCLowBitHash_1_BWifcw_PCBIT4,,,,,,,26791667474,,,,,
STEER_PCLowBitHash_1_BWifcw_PCBIT5,,,,,,,27633642608,,,,,
STEER_PCLowBitHash_1_BWifcw_PCBIT6,,,,,,,29960196552,,,,,
STEER_PCLowBitHash_1_BWifcw_PCBIT7,,,,,,,31832194966,,,,,
REG_BASED_Wcw_ICD1,,,,,,,24629078474,,,,,
REG_BASED_Wcw_ICD2,,,,,,,25415241280,,,,,
REG_BASED_Wcw_ICD3,,,,,,,27011755628,,,,,
REG_BASED_Wcw_ICD4,,,,,,,28118210978,,,,,
Wcw_ICD1,,,,,,,24981076978,,,,,
Wcw_ICD2,,,,,,,26806576654,,,,,
Wcw_ICD3,,,,,,,29439772362,,,,,
Wcw_ICD4,,,,,,,32042877724,,,,,
