variant,bzip2,hmmer,libq,mcf,omnetpp,sjeng
STEER_ModN_32_BASE,4941941438148,2596811706632,28263911390,1728934030538,322604801376,3348427447508
STEER_ModN_32_BWifcw,4830083398140,2570581741728,26837684302,1697971585596,299951408900,3260203611236
STEER_RegBased_4_BASE,5614753599312,2957997011970,27519405342,1818944776220,356900248848,3912374449412
STEER_RegBased_4_BWifcw,5578744295124,2908357057320,26642851378,1785583450508,333330960534,3838767738806
REG_BASED_Wcw_ICD1,,,24629078474,,,
REG_BASED_Wcw_ICD2,,,25415241280,,,
REG_BASED_Wcw_ICD3,,,27011755628,,,
REG_BASED_Wcw_ICD4,,,28118210978,,,
Wcw_ICD1,,,24981076978,,,
Wcw_ICD2,,,26806576654,,,
Wcw_ICD3,,,29439772362,,,
Wcw_ICD4,,,32042877724,,,
