
---------- Begin Simulation Statistics ----------
simSeconds                                   2.788464                       # Number of seconds simulated (Second)
simTicks                                 2788464147612                       # Number of ticks simulated (Tick)
finalTick                                2788464147612                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  72286.65                       # Real time elapsed on the host (Second)
hostTickRate                                 38575094                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     828916                       # Number of bytes of host memory used (Byte)
simInsts                                   6477530166                       # Number of instructions simulated (Count)
simOps                                     9001900567                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89609                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     124531                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9749874643                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.505184                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.664371                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9034017607                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      301                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9062830670                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 658037                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             32117335                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          33137121                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9749743045                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.929546                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.662909                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                6688239169     68.60%     68.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 872426187      8.95%     77.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 469111382      4.81%     82.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 569726150      5.84%     88.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 411012413      4.22%     92.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 613892084      6.30%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  73518858      0.75%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  32292223      0.33%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14445785      0.15%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4019732      0.04%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  1059062      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9749743045                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20084998      8.11%      8.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              42096063     17.01%     25.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.12% # attempts to use FU when none available (Count)
