
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027453                       # Number of seconds simulated (Second)
simTicks                                  27452699560                       # Number of ticks simulated (Tick)
finalTick                                 27452699560                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1715.89                       # Real time elapsed on the host (Second)
hostTickRate                                 15999095                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811864                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   125507                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219085                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         95988484                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.445719                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.243565                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378430508                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      246                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377554206                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  36476                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2504144                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4980232                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 117                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95887034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.937490                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.589045                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8304790      8.66%      8.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12849693     13.40%     22.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11997212     12.51%     34.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10853082     11.32%     45.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13759883     14.35%     60.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  10070883     10.50%     70.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8698560      9.07%     79.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   8539126      8.91%     88.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7381789      7.70%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   2849593      2.97%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   404768      0.42%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   114209      0.12%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    45729      0.05%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    12514      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     3408      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      939      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      776      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       64      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        9      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        7      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
