
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020471                       # Number of seconds simulated (Second)
simTicks                                  20470759452                       # Number of ticks simulated (Tick)
finalTick                                 20470759452                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1756.86                       # Real time elapsed on the host (Second)
hostTickRate                                 11651917                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812464                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   122580                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     213977                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         71576107                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.332361                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.008775                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       381380400                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      310                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      379521321                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6610                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5454069                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10771446                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 181                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71477873                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.309634                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.871856                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3367188      4.71%      4.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9259772     12.95%     17.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12886391     18.03%     35.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3222573      4.51%     40.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6837102      9.57%     49.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5399670      7.55%     57.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5429609      7.60%     64.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3290917      4.60%     69.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4534297      6.34%     75.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4748236      6.64%     82.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2828532      3.96%     86.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  3158593      4.42%     90.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2596285      3.63%     94.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  3261641      4.56%     99.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   621738      0.87%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    19501      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     8417      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     3269      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1616      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     1980      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      149      0.00%    100.00% # Number of insts issued each cycle (Count)
