
---------- Begin Simulation Statistics ----------
simSeconds                                   3.804702                       # Number of seconds simulated (Second)
simTicks                                 3804702051150                       # Number of ticks simulated (Tick)
finalTick                                3804702051150                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 206420.52                       # Real time elapsed on the host (Second)
hostTickRate                                 18431802                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     885136                       # Number of bytes of host memory used (Byte)
simInsts                                  17730767353                       # Number of instructions simulated (Count)
simOps                                    29113525653                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85896                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141040                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      13303155025                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.750286                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.332824                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29119882026                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2600                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29638654987                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1177                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6358967                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3867336                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 860                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13302083660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.228121                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.964826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5791441163     43.54%     43.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1747907751     13.14%     56.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1385936539     10.42%     67.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1087370727      8.17%     75.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 843760606      6.34%     81.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 589347845      4.43%     86.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 403343977      3.03%     89.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 335535898      2.52%     91.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 345202589      2.60%     94.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 266703571      2.00%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                215517571      1.62%     97.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                147247138      1.11%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 75893593      0.57%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 38764832      0.29%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 15665285      0.12%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  6839730      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  3583189      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  1302219      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   501828      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   146693      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    43156      0.00%    100.00% # Number of insts issued each cycle (Count)
