
---------- Begin Simulation Statistics ----------
simSeconds                                   3.880585                       # Number of seconds simulated (Second)
simTicks                                 3880584575868                       # Number of ticks simulated (Tick)
finalTick                                3880584575868                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 198866.30                       # Real time elapsed on the host (Second)
hostTickRate                                 19513535                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     885584                       # Number of bytes of host memory used (Byte)
simInsts                                  17730762896                       # Number of instructions simulated (Count)
simOps                                    29113515742                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89159                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     146397                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      13568479788                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.765251                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.306761                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29128475492                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3178                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29344859898                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1515                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             14962917                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6685209                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1438                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13567410330                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.162893                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.777239                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5561417483     40.99%     40.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1954109069     14.40%     55.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1621178450     11.95%     67.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1226005881      9.04%     76.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 831525894      6.13%     82.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 663858145      4.89%     87.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 420246271      3.10%     90.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 422272341      3.11%     93.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 274637682      2.02%     95.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 217949375      1.61%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                165817812      1.22%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 82161143      0.61%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 66060733      0.49%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 31032652      0.23%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 16757107      0.12%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  6698401      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  2379882      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  2112839      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   952246      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   156721      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    26208      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                    53889      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                      106      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           13567410330                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  269323      0.25%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   137      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   312      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      7      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 308382      0.29%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     40      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    20      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      0.54% # attempts to use FU when none available (Count)
