
---------- Begin Simulation Statistics ----------
simSeconds                                   3.864666                       # Number of seconds simulated (Second)
simTicks                                 3864665609376                       # Number of ticks simulated (Tick)
finalTick                                3864665609376                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 206302.09                       # Real time elapsed on the host (Second)
hostTickRate                                 18733042                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     885076                       # Number of bytes of host memory used (Byte)
simInsts                                  17730762896                       # Number of instructions simulated (Count)
simOps                                    29113515742                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85946                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141121                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      13512817075                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.762111                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.312144                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29118080007                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2450                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29121082824                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1683                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4566704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2520195                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 710                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         13511725784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.155245                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.697942                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5867116262     43.42%     43.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1698148622     12.57%     55.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1176709212      8.71%     64.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1079789602      7.99%     72.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1159940049      8.58%     81.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 809050915      5.99%     87.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 618969238      4.58%     91.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 405361594      3.00%     94.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 223397259      1.65%     96.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 184461273      1.37%     97.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                164365078      1.22%     99.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 56244488      0.42%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 35814904      0.27%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 14412088      0.11%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  6363727      0.05%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  8661302      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  2012172      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   642698      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   203943      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    51638      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     8596      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     1124      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                21                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           13511725784                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  295404      0.05%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               3311155      0.58%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   287      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 341099      0.06%      0.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      0.70% # attempts to use FU when none available (Count)
