
---------- Begin Simulation Statistics ----------
simSeconds                                   3.114202                       # Number of seconds simulated (Second)
simTicks                                 3114202393874                       # Number of ticks simulated (Tick)
finalTick                                3114202393874                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 200890.10                       # Real time elapsed on the host (Second)
hostTickRate                                 15502020                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     885728                       # Number of bytes of host memory used (Byte)
simInsts                                  17730762896                       # Number of instructions simulated (Count)
simOps                                    29113515742                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88261                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     144923                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10888821027                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.614120                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.628346                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29125731395                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3070                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29126724681                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6682                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12218712                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5556631                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1330                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10887765784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.675179                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.408120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4913837632     45.13%     45.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1154195928     10.60%     55.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 650622509      5.98%     61.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 660621802      6.07%     67.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 576779070      5.30%     73.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 547302334      5.03%     78.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 576383051      5.29%     83.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 496895846      4.56%     87.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 327312958      3.01%     90.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 392212050      3.60%     94.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                278935756      2.56%     97.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                158477319      1.46%     98.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 45065733      0.41%     99.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 73258246      0.67%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 14232340      0.13%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 13761585      0.13%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  5149852      0.05%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  2126355      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   507002      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    68349      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    14960      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     3449      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                     1658      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
