
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000017                       # Number of seconds simulated (Second)
simTicks                                     17461444                       # Number of ticks simulated (Tick)
finalTick                                    17461444                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.43                       # Real time elapsed on the host (Second)
hostTickRate                                 41029468                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     711852                       # Number of bytes of host memory used (Byte)
simInsts                                        11063                       # Number of instructions simulated (Count)
simOps                                          22499                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    25989                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      52853                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                            61055                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.518847                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.181197                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           49319                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                          41078                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     77                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                26744                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             46703                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples               36006                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.140865                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.495209                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     26369     73.24%     73.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      2182      6.06%     79.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      1469      4.08%     83.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      1300      3.61%     86.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      1144      3.18%     90.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       659      1.83%     91.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       687      1.91%     93.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       503      1.40%     95.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       496      1.38%     96.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       419      1.16%     97.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      289      0.80%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      210      0.58%     99.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                      155      0.43%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                       65      0.18%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                       21      0.06%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                       17      0.05%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                       10      0.03%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                        7      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        4      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
