
---------- Begin Simulation Statistics ----------
simSeconds                                   3.101814                       # Number of seconds simulated (Second)
simTicks                                 3101814133132                       # Number of ticks simulated (Tick)
finalTick                                3101814133132                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 205217.58                       # Real time elapsed on the host (Second)
hostTickRate                                 15114758                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     885704                       # Number of bytes of host memory used (Byte)
simInsts                                  17730762896                       # Number of instructions simulated (Count)
simOps                                    29113515742                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86400                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141867                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10845505382                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.611677                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.634849                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29127071521                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3197                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29128645138                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8247                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             13558965                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5713151                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1457                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10844431169                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.686046                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.390019                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4928231228     45.44%     45.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1004980132      9.27%     54.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 850703153      7.84%     62.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 483313637      4.46%     67.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 583690027      5.38%     72.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 476103718      4.39%     76.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 643242286      5.93%     82.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 595660587      5.49%     88.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 447681148      4.13%     92.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 272848480      2.52%     94.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                225562332      2.08%     96.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                205192631      1.89%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 48548665      0.45%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 43558779      0.40%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 15400453      0.14%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  9681326      0.09%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  4920674      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  3292008      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   904604      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   831019      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    78940      0.00%    100.00% # Number of insts issued each cycle (Count)
