
---------- Begin Simulation Statistics ----------
simSeconds                                   3.115611                       # Number of seconds simulated (Second)
simTicks                                 3115610572646                       # Number of ticks simulated (Tick)
finalTick                                3115610572646                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 206713.18                       # Real time elapsed on the host (Second)
hostTickRate                                 15072143                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     885788                       # Number of bytes of host memory used (Byte)
simInsts                                  17730762896                       # Number of instructions simulated (Count)
simOps                                    29113515742                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85775                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140840                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10893744831                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.614398                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.627610                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29127111581                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3223                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    30007842636                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5535                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             13599038                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6165529                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1483                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10892679816                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.754863                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.652733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5101366288     46.83%     46.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1115717294     10.24%     57.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 728451777      6.69%     63.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 520247759      4.78%     68.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 418549557      3.84%     72.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 524276237      4.81%     77.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 438013927      4.02%     81.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 459576299      4.22%     85.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 512462650      4.70%     90.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 194508954      1.79%     91.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                307122061      2.82%     94.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                314400641      2.89%     97.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 87083660      0.80%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                125217224      1.15%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 16149830      0.15%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 21127777      0.19%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  6070820      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  1467264      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   601739      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   249421      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    10720      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     5594      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                     2323      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10892679816                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  150116      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               7383279      0.66%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                1528751      0.14%      0.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      0.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     53      0.00%      0.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 51772      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    2      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      0.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd          29772682      2.67%      3.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%      3.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%      3.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%      3.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv          17194686      1.54%      5.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%      5.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult        228280821     20.48%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     25.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead              411399244     36.91%     62.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               1976910      0.18%     62.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead         415952600     37.32%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           828117      0.07%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedStore             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedStore             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdExt                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatExt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdConfig                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Add                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Cmp                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Cvt                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16DotProd              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Mult                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16MultAcc              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Bf16Cvt                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::System                       0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.issuedInstType_0::No_OpClass     251560691      0.84%      0.84% # Number of instructions issued per FU type, per thread (Count)
