
---------- Begin Simulation Statistics ----------
simSeconds                                   4.166552                       # Number of seconds simulated (Second)
simTicks                                 4166552188656                       # Number of ticks simulated (Tick)
finalTick                                4166552188656                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 201010.83                       # Real time elapsed on the host (Second)
hostTickRate                                 20727999                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     882376                       # Number of bytes of host memory used (Byte)
simInsts                                  17730767353                       # Number of instructions simulated (Count)
simOps                                    29113525653                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88208                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     144836                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      14568364405                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.821643                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.217073                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29121160526                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2685                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    30915628452                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7623                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7637539                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6346921                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 945                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         14567250496                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.122269                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.383772                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5886107109     40.41%     40.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1815587689     12.46%     52.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1468794431     10.08%     62.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1352492361      9.28%     72.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1296873702      8.90%     81.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 885661380      6.08%     87.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                1068587925      7.34%     94.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 450121602      3.09%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 185521818      1.27%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 132404988      0.91%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 25097491      0.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           14567250496                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                12715088      0.60%      0.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              20741888      0.99%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.59% # attempts to use FU when none available (Count)
