
---------- Begin Simulation Statistics ----------
simSeconds                                   4.941941                       # Number of seconds simulated (Second)
simTicks                                 4941941438148                       # Number of ticks simulated (Tick)
finalTick                                4941941438148                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 239209.64                       # Real time elapsed on the host (Second)
hostTickRate                                 20659458                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804036                       # Number of bytes of host memory used (Byte)
simInsts                                  19694379405                       # Number of instructions simulated (Count)
simOps                                    31154910286                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    82331                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     130241                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      17279515521                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.877383                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.139753                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     34661876548                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      567                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    33892875073                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               23215294                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           3506966818                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        5015585475                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 279                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         17279347593                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.961467                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.325183                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7707391292     44.60%     44.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1876628280     10.86%     55.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1780464620     10.30%     65.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1338965120      7.75%     73.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1518195700      8.79%     82.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                1387174535      8.03%     90.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 808295199      4.68%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 479091308      2.77%     97.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 244155293      1.41%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 116748436      0.68%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 22237810      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           17279347593                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               895303132     75.61%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    53      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    89      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     24      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     11      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  4081      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     75.61% # attempts to use FU when none available (Count)
