
---------- Begin Simulation Statistics ----------
simSeconds                                   5.245611                       # Number of seconds simulated (Second)
simTicks                                 5245610686316                       # Number of ticks simulated (Tick)
finalTick                                5245610686316                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 217036.12                       # Real time elapsed on the host (Second)
hostTickRate                                 24169298                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     806760                       # Number of bytes of host memory used (Byte)
simInsts                                  19694383153                       # Number of instructions simulated (Count)
simOps                                    31154918439                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    90742                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     143547                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      18341296122                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.931296                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.073773                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     34388409419                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      603                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    33677475508                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 759997                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           3233491572                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        4059501554                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 315                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         18341141373                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.836171                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.475624                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                8156409983     44.47%     44.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2978409237     16.24%     60.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2007547604     10.95%     71.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1610421010      8.78%     80.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1020113272      5.56%     86.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 747138906      4.07%     90.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 582125605      3.17%     93.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 415219971      2.26%     95.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 320156206      1.75%     97.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 222057255      1.21%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                125746260      0.69%     99.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 85168349      0.46%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 43532237      0.24%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 20467957      0.11%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  5068330      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1226207      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   296883      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    32419      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     3614      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       67      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
