
---------- Begin Simulation Statistics ----------
simSeconds                                   4.519191                       # Number of seconds simulated (Second)
simTicks                                 4519190960856                       # Number of ticks simulated (Tick)
finalTick                                4519190960856                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 245628.54                       # Real time elapsed on the host (Second)
hostTickRate                                 18398477                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     807236                       # Number of bytes of host memory used (Byte)
simInsts                                  19694383153                       # Number of instructions simulated (Count)
simOps                                    31154918439                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    80180                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     126838                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      15801367037                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.802329                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.246372                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     38502962096                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      817                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    36471487211                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2480898                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           7348044463                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       11871762436                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 529                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         15801217880                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.308144                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.361552                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7203634243     45.59%     45.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2509279017     15.88%     61.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1358721722      8.60%     70.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1005117567      6.36%     76.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 610193126      3.86%     80.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 516386924      3.27%     83.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 462142283      2.92%     86.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 420470446      2.66%     89.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 426304449      2.70%     91.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 360693356      2.28%     94.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                287917006      1.82%     95.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                258325344      1.63%     97.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                146350459      0.93%     98.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 89086616      0.56%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 62134551      0.39%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 44093828      0.28%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                 21733113      0.14%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                 15734491      0.10%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                  2792943      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   106242      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      148      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           15801217880                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               133740900     46.82%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    91      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   123      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     46      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     76      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  4668      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   29      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     46.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     46.82% # attempts to use FU when none available (Count)
