
---------- Begin Simulation Statistics ----------
simSeconds                                   4.634986                       # Number of seconds simulated (Second)
simTicks                                 4634985706780                       # Number of ticks simulated (Tick)
finalTick                                4634985706780                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 250773.97                       # Real time elapsed on the host (Second)
hostTickRate                                 18482723                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     807728                       # Number of bytes of host memory used (Byte)
simInsts                                  19694379405                       # Number of instructions simulated (Count)
simOps                                    31154910286                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    78534                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     124235                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      16206243776                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.822887                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.215234                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     38851835220                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      782                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    36630441654                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1253709                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           7696925705                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined       12772398575                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 494                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         16206099141                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.260287                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.227709                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7313390155     45.13%     45.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2569787063     15.86%     60.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1379846096      8.51%     69.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1033052923      6.37%     75.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 832949906      5.14%     81.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 548037760      3.38%     84.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 467380706      2.88%     87.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 432542427      2.67%     89.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 418728240      2.58%     92.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 398540310      2.46%     94.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                271917440      1.68%     96.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                211715424      1.31%     97.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                140349401      0.87%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 93109730      0.57%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 44393144      0.27%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 26543423      0.16%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  9817478      0.06%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                 10559762      0.07%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                  3195243      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   233645      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     8857      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        5      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           16206099141                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                91233039     40.24%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    56      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   109      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     40.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     41      0.00%     40.24% # attempts to use FU when none available (Count)
