
---------- Begin Simulation Statistics ----------
simSeconds                                   5.574194                       # Number of seconds simulated (Second)
simTicks                                 5574194390050                       # Number of ticks simulated (Tick)
finalTick                                5574194390050                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 233640.58                       # Real time elapsed on the host (Second)
hostTickRate                                 23857989                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     807172                       # Number of bytes of host memory used (Byte)
simInsts                                  19694379405                       # Number of instructions simulated (Count)
simOps                                    31154910286                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    84293                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     133345                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      19490190205                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.989632                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.010477                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     35792873790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      685                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    34595541962                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 584116                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4637964152                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        6710543461                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 397                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         19490043603                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.775037                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.462148                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                8616798897     44.21%     44.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                3405619178     17.47%     61.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2654969488     13.62%     75.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1318736729      6.77%     82.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 904166095      4.64%     86.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 659853341      3.39%     90.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 561671075      2.88%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 449892238      2.31%     95.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 358438668      1.84%     97.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 265344569      1.36%     98.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                140841681      0.72%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 85395468      0.44%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 37420392      0.19%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 10842234      0.06%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 10360405      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  7666030      0.04%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   484244      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   582675      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   773465      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   168160      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     6151      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     3918      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                     8502      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           19490043603                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4686433      5.35%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    41      0.00%      5.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.35% # attempts to use FU when none available (Count)
