
---------- Begin Simulation Statistics ----------
simSeconds                                   1.275202                       # Number of seconds simulated (Second)
simTicks                                 1275201837338                       # Number of ticks simulated (Tick)
finalTick                                1275201837338                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 103017.08                       # Real time elapsed on the host (Second)
hostTickRate                                 12378548                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     893992                       # Number of bytes of host memory used (Byte)
simInsts                                   9471806935                       # Number of instructions simulated (Count)
simOps                                    14436840246                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    91944                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4458747712                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.470739                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.124320                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14440262081                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8274                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14779687289                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  29055                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3430103                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3899756                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1635                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4454875272                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.317643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.272395                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 575304972     12.91%     12.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 578949549     13.00%     25.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 618900874     13.89%     39.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 629881659     14.14%     53.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 604344894     13.57%     67.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 647086578     14.53%     82.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 412675674      9.26%     91.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 224973221      5.05%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 106561939      2.39%     98.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  44842674      1.01%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 11353238      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4454875272                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7851624      0.99%      0.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              52039504      6.59%      7.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.59% # attempts to use FU when none available (Count)
