
---------- Begin Simulation Statistics ----------
simSeconds                                   1.196267                       # Number of seconds simulated (Second)
simTicks                                 1196267423494                       # Number of ticks simulated (Tick)
finalTick                                1196267423494                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 117157.71                       # Real time elapsed on the host (Second)
hostTickRate                                 10210745                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     896820                       # Number of bytes of host memory used (Byte)
simInsts                                   9471806935                       # Number of instructions simulated (Count)
simOps                                    14436840246                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    80847                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     123226                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4182753441                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.441600                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.264491                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14440721329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8597                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14480423957                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7913                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3889669                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4642871                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1958                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4179085310                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.464974                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.044413                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 627131306     15.01%     15.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 672739594     16.10%     31.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 671476309     16.07%     47.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 582529098     13.94%     61.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 409228848      9.79%     70.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 284438237      6.81%     77.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 220215170      5.27%     82.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 188419058      4.51%     87.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 165542613      3.96%     91.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 129089937      3.09%     94.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 94336596      2.26%     96.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 66969116      1.60%     98.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 37486899      0.90%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 17437602      0.42%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  7677375      0.18%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  2906221      0.07%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  1002492      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   322094      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   101907      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    17967      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    16765      0.00%    100.00% # Number of insts issued each cycle (Count)
