
---------- Begin Simulation Statistics ----------
simSeconds                                   1.248361                       # Number of seconds simulated (Second)
simTicks                                 1248361408580                       # Number of ticks simulated (Tick)
finalTick                                1248361408580                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 106045.84                       # Real time elapsed on the host (Second)
hostTickRate                                 11771903                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     896656                       # Number of bytes of host memory used (Byte)
simInsts                                   9471802432                       # Number of instructions simulated (Count)
simOps                                    14436830956                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89318                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     136138                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4364900133                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.460831                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.169993                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14439774010                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8106                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14459955880                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4167                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2951149                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3117361                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1467                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4361146498                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.315632                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.775898                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 568444133     13.03%     13.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 716783598     16.44%     29.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 787364571     18.05%     47.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 642228126     14.73%     62.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 454674853     10.43%     72.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 369314652      8.47%     81.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 220683321      5.06%     86.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 175841537      4.03%     90.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 140225370      3.22%     93.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 109475333      2.51%     95.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 85858047      1.97%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 41283501      0.95%     98.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 37963686      0.87%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  8663381      0.20%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1639031      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   685837      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     7797      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     6870      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     2477      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      375      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                20                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4361146498                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  113642      0.05%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              36145735     16.37%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    21      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     16.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  65721      0.03%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    235      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   425      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   97      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     16.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           5251607      2.38%     18.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     18.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     18.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     18.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                72      0.00%     18.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     18.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult         13096003      5.93%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     24.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               19738738      8.94%     33.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                466947      0.21%     33.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead         145009632     65.67%     99.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           912631      0.41%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
