
---------- Begin Simulation Statistics ----------
simSeconds                                   1.192526                       # Number of seconds simulated (Second)
simTicks                                 1192526284378                       # Number of ticks simulated (Tick)
finalTick                                1192526284378                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 126416.46                       # Real time elapsed on the host (Second)
hostTickRate                                  9433315                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     897324                       # Number of bytes of host memory used (Byte)
simInsts                                   9471802432                       # Number of instructions simulated (Count)
simOps                                    14436830956                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    74925                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     114201                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4169672895                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.440220                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.271594                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14442883452                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9364                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14442222026                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  15432                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6061849                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6648411                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2725                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4166006230                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.466683                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.135135                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 813288366     19.52%     19.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 646346934     15.51%     35.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 518643726     12.45%     47.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 489235308     11.74%     59.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 401851369      9.65%     68.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 288605588      6.93%     75.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 208239870      5.00%     80.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 211841533      5.09%     85.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 172996790      4.15%     90.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 165947034      3.98%     94.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                109581497      2.63%     96.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                138742827      3.33%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   412761      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   184623      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    52867      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    27248      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     2178      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     5335      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      235      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       29      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      109      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                21                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4166006230                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  618723      0.17%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              16869186      4.61%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    43      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      4.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  80012      0.02%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      4      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                   5337      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   568      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  169      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           8772658      2.40%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 3      0.00%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult         56616373     15.47%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     22.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     22.67% # attempts to use FU when none available (Count)
