
---------- Begin Simulation Statistics ----------
simSeconds                                   1.178156                       # Number of seconds simulated (Second)
simTicks                                 1178156407142                       # Number of ticks simulated (Tick)
finalTick                                1178156407142                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 129386.78                       # Real time elapsed on the host (Second)
hostTickRate                                  9105694                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     897512                       # Number of bytes of host memory used (Byte)
simInsts                                   9471802432                       # Number of instructions simulated (Count)
simOps                                    14436830956                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    73205                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     111579                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4119429236                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.434915                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.299300                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14442991623                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9473                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14452814064                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9708                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6170129                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6866528                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2834                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4115790215                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.511553                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.318271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 814359029     19.79%     19.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 686930561     16.69%     36.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 509620803     12.38%     48.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 452567897     11.00%     59.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 390109272      9.48%     69.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 244796971      5.95%     75.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 211731991      5.14%     80.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 188303654      4.58%     85.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 150128105      3.65%     88.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 156415383      3.80%     92.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                135297056      3.29%     95.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                103121727      2.51%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 41679011      1.01%     99.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 20808723      0.51%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  4633750      0.11%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   985707      0.02%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  3524695      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   758801      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    13530      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     3056      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      445      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       38      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                       10      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4115790215                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  173743      0.04%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              34045993      7.61%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  1060      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     92      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      7.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  79875      0.02%      7.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     11      0.00%      7.67% # attempts to use FU when none available (Count)
