
---------- Begin Simulation Statistics ----------
simSeconds                                   1.329278                       # Number of seconds simulated (Second)
simTicks                                 1329277788124                       # Number of ticks simulated (Tick)
finalTick                                1329277788124                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 101378.89                       # Real time elapsed on the host (Second)
hostTickRate                                 13111978                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     894140                       # Number of bytes of host memory used (Byte)
simInsts                                   9471806935                       # Number of instructions simulated (Count)
simOps                                    14436840246                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    93430                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     142405                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4647824451                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.490701                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.037901                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14440928672                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8824                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14893818707                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13755                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4097231                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4523627                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2185                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4644004955                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.207107                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.231287                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 601985194     12.96%     12.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 651010340     14.02%     26.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 720131383     15.51%     42.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 680888937     14.66%     57.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 597179376     12.86%     70.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 507246086     10.92%     80.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 508895289     10.96%     91.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 251407597      5.41%     97.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 106601427      2.30%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  17698733      0.38%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   960593      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4644004955                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1435311      0.18%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd             118458982     15.25%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    10      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   2200      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    864      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    15      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     15.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd            525613      0.07%     15.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     15.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     15.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     15.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     15.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     15.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult          6033121      0.78%     16.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     16.28% # attempts to use FU when none available (Count)
