
---------- Begin Simulation Statistics ----------
simSeconds                                   1.200884                       # Number of seconds simulated (Second)
simTicks                                 1200884094124                       # Number of ticks simulated (Tick)
finalTick                                1200884094124                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 114521.24                       # Real time elapsed on the host (Second)
hostTickRate                                 10486126                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     897016                       # Number of bytes of host memory used (Byte)
simInsts                                   9471806935                       # Number of instructions simulated (Count)
simOps                                    14436840246                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    82708                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     126063                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4198895496                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.443305                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.255785                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     14441308408                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9136                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    14509206698                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4864                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4477261                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5336700                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2497                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4195268031                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.458470                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.895740                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 560475839     13.36%     13.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 657967416     15.68%     29.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 688976540     16.42%     45.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 603165152     14.38%     59.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 475543762     11.34%     71.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 337624109      8.05%     79.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 231999284      5.53%     84.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 163749491      3.90%     88.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 116964171      2.79%     91.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 151114326      3.60%     95.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                109196264      2.60%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 55781026      1.33%     98.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 25044490      0.60%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 14963396      0.36%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1677689      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1003239      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    10379      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    10061      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1228      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      100      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       33      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       32      0.00%    100.00% # Number of insts issued each cycle (Count)
