
---------- Begin Simulation Statistics ----------
simSeconds                                   0.591371                       # Number of seconds simulated (Second)
simTicks                                 591371153802                       # Number of ticks simulated (Tick)
finalTick                                591371153802                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  43101.33                       # Real time elapsed on the host (Second)
hostTickRate                                 13720484                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     892096                       # Number of bytes of host memory used (Byte)
simInsts                                   4157210037                       # Number of instructions simulated (Count)
simOps                                     7164922456                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    96452                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     166234                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2067731322                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.497384                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.010518                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7444579471                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1724                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7412132598                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2268682                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            279658733                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         480859838                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 715                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2067375468                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.585286                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.506860                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 316640902     15.32%     15.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 216135522     10.45%     25.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 230398917     11.14%     36.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 241152262     11.66%     48.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 258506661     12.50%     61.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 320916191     15.52%     76.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 211638682     10.24%     86.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 140176869      6.78%     93.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  77787128      3.76%     97.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  40455682      1.96%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 13566652      0.66%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2067375468                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                72425085     25.36%     25.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd             134405270     47.06%     72.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.41% # attempts to use FU when none available (Count)
