
---------- Begin Simulation Statistics ----------
simSeconds                                   0.566760                       # Number of seconds simulated (Second)
simTicks                                 566760369890                       # Number of ticks simulated (Tick)
finalTick                                566760369890                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  40630.53                       # Real time elapsed on the host (Second)
hostTickRate                                 13949126                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     895052                       # Number of bytes of host memory used (Byte)
simInsts                                   4157210037                       # Number of instructions simulated (Count)
simOps                                     7164922456                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   102317                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     176343                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1981679670                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.476685                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.097821                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7467571427                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1849                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7387857612                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 252912                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            302650814                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         521441168                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 840                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1981348974                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.728701                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.330815                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 344891198     17.41%     17.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 256775345     12.96%     30.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 274289749     13.84%     44.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 252415711     12.74%     56.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 200959973     10.14%     67.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 151830646      7.66%     74.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 114243138      5.77%     80.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  93896443      4.74%     85.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  73837985      3.73%     88.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  65095236      3.29%     92.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 53249208      2.69%     94.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 42938306      2.17%     97.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 27154914      1.37%     98.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 15373157      0.78%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  7977527      0.40%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  3781067      0.19%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  1410538      0.07%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   729910      0.04%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   420100      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    73218      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     5055      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                      477      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                       73      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1981348974                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                10187610     14.11%     14.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              42150937     58.40%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   539      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     18      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     72.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 919358      1.27%     73.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      8      0.00%     73.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  13276      0.02%     73.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                861960      1.19%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   38      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     75.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           7252197     10.05%     85.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     85.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     85.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt             37400      0.05%     85.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                96      0.00%     85.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     85.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult          1730511      2.40%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                1      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     87.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     87.50% # attempts to use FU when none available (Count)
