
---------- Begin Simulation Statistics ----------
simSeconds                                   0.614592                       # Number of seconds simulated (Second)
simTicks                                 614592426162                       # Number of ticks simulated (Tick)
finalTick                                614592426162                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38138.08                       # Real time elapsed on the host (Second)
hostTickRate                                 16114929                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     895212                       # Number of bytes of host memory used (Byte)
simInsts                                   4157206454                       # Number of instructions simulated (Count)
simOps                                     7164914307                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   109004                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     187868                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2148924584                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.516916                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.934552                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7443567409                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1599                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7373592170                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  41813                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            278654690                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         428027565                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 590                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2148591108                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.431827                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.227773                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 406916411     18.94%     18.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 310796543     14.47%     33.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 337873238     15.73%     49.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 269107728     12.52%     61.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 195346047      9.09%     70.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 152421665      7.09%     77.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 106663504      4.96%     82.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 102338541      4.76%     87.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  61618559      2.87%     90.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  66631773      3.10%     93.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 50277616      2.34%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 34938526      1.63%     97.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 23195720      1.08%     98.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 15084033      0.70%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  9280132      0.43%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  3573351      0.17%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  1536035      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   619912      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1473      0.00%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                   362529      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     7756      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       15      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2148591108                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1989456      9.25%      9.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                814322      3.79%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   645      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 759926      3.53%     16.57% # attempts to use FU when none available (Count)
