
---------- Begin Simulation Statistics ----------
simSeconds                                   0.517726                       # Number of seconds simulated (Second)
simTicks                                 517726291368                       # Number of ticks simulated (Tick)
finalTick                                517726291368                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  44788.36                       # Real time elapsed on the host (Second)
hostTickRate                                 11559394                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     895596                       # Number of bytes of host memory used (Byte)
simInsts                                   4157206454                       # Number of instructions simulated (Count)
simOps                                     7164914307                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    92819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     159973                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1810231875                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.435444                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.296505                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7557385894                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2065                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7467668357                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 451975                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            392473641                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         631921743                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1056                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1809909643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.125990                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              4.071202                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 478304256     26.43%     26.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 166303345      9.19%     35.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 155622555      8.60%     44.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 167957865      9.28%     53.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 148376552      8.20%     61.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 129531800      7.16%     68.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 101566843      5.61%     74.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  77608465      4.29%     78.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  66741323      3.69%     82.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  80511768      4.45%     86.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 72405828      4.00%     90.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 42579590      2.35%     93.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 40034619      2.21%     95.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 30493691      1.68%     97.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 26366336      1.46%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 18963871      1.05%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  4471736      0.25%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   145303      0.01%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   187707      0.01%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                  1092751      0.06%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                   640809      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                     2622      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1809909643                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20082823     18.56%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.56% # attempts to use FU when none available (Count)
