
---------- Begin Simulation Statistics ----------
simSeconds                                   0.519453                       # Number of seconds simulated (Second)
simTicks                                 519453213994                       # Number of ticks simulated (Tick)
finalTick                                519453213994                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  43282.52                       # Real time elapsed on the host (Second)
hostTickRate                                 12001455                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     895752                       # Number of bytes of host memory used (Byte)
simInsts                                   4157206454                       # Number of instructions simulated (Count)
simOps                                     7164914307                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    96048                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     165538                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1816270057                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.436897                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.288870                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7622315327                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2144                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7516710323                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 233783                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            457403153                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         747955892                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1135                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1815948175                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.139276                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              4.092610                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 468372353     25.79%     25.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 174002999      9.58%     35.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 155618127      8.57%     43.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 169096201      9.31%     53.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 162887785      8.97%     62.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 117735259      6.48%     68.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  98843404      5.44%     74.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  91695334      5.05%     79.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  83130816      4.58%     83.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  69997349      3.85%     87.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 59821470      3.29%     90.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 38725860      2.13%     93.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 21666922      1.19%     94.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 37624301      2.07%     96.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 34158364      1.88%     98.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 24188504      1.33%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  5788464      0.32%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   538611      0.03%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                  1624276      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     3296      0.00%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                   428055      0.02%    100.00% # Number of insts issued each cycle (Count)
