
---------- Begin Simulation Statistics ----------
simSeconds                                   0.657969                       # Number of seconds simulated (Second)
simTicks                                 657968993968                       # Number of ticks simulated (Tick)
finalTick                                657968993968                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  41835.21                       # Real time elapsed on the host (Second)
hostTickRate                                 15727636                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     892352                       # Number of bytes of host memory used (Byte)
simInsts                                   4157210037                       # Number of instructions simulated (Count)
simOps                                     7164922456                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99371                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     171265                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2300590911                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.553398                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.807018                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7491568164                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1747                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7429701465                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1266150                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            326647436                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         505396525                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 738                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2300246036                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.229959                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.431238                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 366892857     15.95%     15.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 327967464     14.26%     30.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 331050733     14.39%     44.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 288137452     12.53%     57.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 252554248     10.98%     68.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 239022654     10.39%     78.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 212113389      9.22%     87.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 189337392      8.23%     95.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  69459506      3.02%     98.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  20931619      0.91%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2778722      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2300246036                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                43947893     36.28%     36.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     36.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     36.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              14284735     11.79%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    22      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     48.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 137466      0.11%     48.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     48.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     15      0.00%     48.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                988730      0.82%     49.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     49.00% # attempts to use FU when none available (Count)
