
---------- Begin Simulation Statistics ----------
simSeconds                                   0.642215                       # Number of seconds simulated (Second)
simTicks                                 642214656798                       # Number of ticks simulated (Tick)
finalTick                                642214656798                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  44399.31                       # Real time elapsed on the host (Second)
hostTickRate                                 14464518                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     895440                       # Number of bytes of host memory used (Byte)
simInsts                                   4157210037                       # Number of instructions simulated (Count)
simOps                                     7164922456                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    93632                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     161375                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2245505841                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.540147                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.851347                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7517304136                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1850                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7420514043                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  34923                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            352383493                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         548944152                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 841                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2245186319                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.305077                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.189857                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 431611133     19.22%     19.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 349705292     15.58%     34.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 361871013     16.12%     50.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 288937850     12.87%     63.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 221296414      9.86%     73.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 127624456      5.68%     79.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 114416994      5.10%     84.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  88788180      3.95%     88.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  56671500      2.52%     90.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  58863521      2.62%     93.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 49355027      2.20%     95.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 33263446      1.48%     97.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 28608543      1.27%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 19889623      0.89%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 11586907      0.52%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1663320      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   507219      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   282872      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   241536      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     1402      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       68      0.00%    100.00% # Number of insts issued each cycle (Count)
