
---------- Begin Simulation Statistics ----------
simSeconds                                   2.596812                       # Number of seconds simulated (Second)
simTicks                                 2596811706632                       # Number of ticks simulated (Tick)
finalTick                                2596811706632                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 183586.71                       # Real time elapsed on the host (Second)
hostTickRate                                 14144879                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     813776                       # Number of bytes of host memory used (Byte)
simInsts                                  14530727515                       # Number of instructions simulated (Count)
simOps                                    23313423164                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79149                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     126989                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9079761215                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.624866                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.600342                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     25113284870                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      506                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    24593762596                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               13258334                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1799862206                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        3623667239                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 143                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9079617943                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.708678                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.874675                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 741790046      8.17%      8.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1971498985     21.71%     29.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2083520038     22.95%     52.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1610676719     17.74%     70.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1111488459     12.24%     82.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 778483260      8.57%     91.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 418499113      4.61%     95.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 205869086      2.27%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 102048062      1.12%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  41081284      0.45%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 14662891      0.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9079617943                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               141499256     26.18%     26.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     26.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 23763      0.00%     26.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.18% # attempts to use FU when none available (Count)
