
---------- Begin Simulation Statistics ----------
simSeconds                                   2.570582                       # Number of seconds simulated (Second)
simTicks                                 2570581741728                       # Number of ticks simulated (Tick)
finalTick                                2570581741728                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 210479.75                       # Real time elapsed on the host (Second)
hostTickRate                                 12212965                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     816584                       # Number of bytes of host memory used (Byte)
simInsts                                  14530727515                       # Number of instructions simulated (Count)
simOps                                    23313423164                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    69036                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     110763                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       8988048081                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.618555                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.616672                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     25242967906                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      542                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    24561012047                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 318580                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1929545278                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        3836049694                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 179                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          8987914798                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.732671                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.229781                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 869210856      9.67%      9.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2221242620     24.71%     34.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2028859417     22.57%     56.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1377036337     15.32%     72.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 832424717      9.26%     81.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 603346623      6.71%     88.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 424753580      4.73%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 268943862      2.99%     95.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 142547138      1.59%     97.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  86732676      0.96%     98.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 60647590      0.67%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 38429828      0.43%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 22456576      0.25%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  7036248      0.08%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2566989      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   845147      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   587052      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   214388      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                    27512      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     5147      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      254      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                      117      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                      124      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            8987914798                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                15766624     27.11%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   879      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   122      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 174350      0.30%     27.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      3      0.00%     27.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                 666960      1.15%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    55      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   24      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd               302      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     28.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt            275118      0.47%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                39      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult               35      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     29.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               41136659     70.74%     99.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                111732      0.19%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead             16924      0.03%     99.99% # attempts to use FU when none available (Count)
