
---------- Begin Simulation Statistics ----------
simSeconds                                   2.401235                       # Number of seconds simulated (Second)
simTicks                                 2401235205798                       # Number of ticks simulated (Tick)
finalTick                                2401235205798                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 212288.72                       # Real time elapsed on the host (Second)
hostTickRate                                 11311177                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     816872                       # Number of bytes of host memory used (Byte)
simInsts                                  14531650361                       # Number of instructions simulated (Count)
simOps                                    23315279001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    68452                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     109828                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       8395927327                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.577768                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.730798                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     26298892265                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      648                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    25365555611                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               28248100                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           2983613901                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        4792018295                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 273                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          8395791803                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.021223                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.527711                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 897715935     10.69%     10.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1716675233     20.45%     31.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1786947331     21.28%     52.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1383020448     16.47%     68.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 603929590      7.19%     76.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 753622073      8.98%     85.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 427593510      5.09%     90.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 240475751      2.86%     93.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 302041009      3.60%     96.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  77849235      0.93%     97.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 34879815      0.42%     97.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 77561611      0.92%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 42288674      0.50%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 50489838      0.60%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   102686      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   597866      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      784      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      322      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       74      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                20                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            8395791803                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13980600     14.08%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   155      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    24      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     14.08% # attempts to use FU when none available (Count)
