
---------- Begin Simulation Statistics ----------
simSeconds                                   2.399369                       # Number of seconds simulated (Second)
simTicks                                 2399368826998                       # Number of ticks simulated (Tick)
finalTick                                2399368826998                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 226736.75                       # Real time elapsed on the host (Second)
hostTickRate                                 10582179                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     816432                       # Number of bytes of host memory used (Byte)
simInsts                                  14530731714                       # Number of instructions simulated (Count)
simOps                                    23313432194                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    64086                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     102822                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       8389401526                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.577356                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.732034                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     26460498595                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      592                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    25527388891                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                4365191                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           3147066982                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        4696537120                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 229                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          8389268492                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.042862                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.719438                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 888965777     10.60%     10.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1917353485     22.85%     33.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1796855692     21.42%     54.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1136320995     13.54%     68.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 726974851      8.67%     77.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 552210721      6.58%     83.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 503520899      6.00%     89.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 209143561      2.49%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 283929863      3.38%     95.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 105944163      1.26%     96.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 73199380      0.87%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 54625626      0.65%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 40934416      0.49%     98.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 37442258      0.45%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                 28547292      0.34%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                 19914938      0.24%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                  9902442      0.12%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                  2092241      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                  1326790      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                    34702      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                    28189      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                      208      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            8389268492                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13136060      7.63%      7.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.63% # attempts to use FU when none available (Count)
