
---------- Begin Simulation Statistics ----------
simSeconds                                   2.956976                       # Number of seconds simulated (Second)
simTicks                                 2956976261668                       # Number of ticks simulated (Tick)
finalTick                                2956976261668                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 151677.72                       # Real time elapsed on the host (Second)
hostTickRate                                 19495126                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     814320                       # Number of bytes of host memory used (Byte)
simInsts                                  14531646162                       # Number of instructions simulated (Count)
simOps                                    23315269971                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    95806                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     153716                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10339077841                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.711487                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.405507                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     25076769375                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      580                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    25114747273                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3064063                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1761499965                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2153054049                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 205                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10338935957                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.429142                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.807408                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1096793608     10.61%     10.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2528690962     24.46%     35.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2732746369     26.43%     61.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1537133619     14.87%     76.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 988046846      9.56%     85.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 605569789      5.86%     91.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 556486900      5.38%     97.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 199469831      1.93%     99.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  53868944      0.52%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  38326272      0.37%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  1802817      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10338935957                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                32220337     27.57%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   170      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    512      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     59      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    53      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 1      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     27.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt            431082      0.37%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 1      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                4      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     27.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               83166973     71.17%     99.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                772591      0.66%     99.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            248069      0.21%     99.98% # attempts to use FU when none available (Count)
