
---------- Begin Simulation Statistics ----------
simSeconds                                   2.908357                       # Number of seconds simulated (Second)
simTicks                                 2908357057320                       # Number of ticks simulated (Tick)
finalTick                                2908357057320                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 168140.62                       # Real time elapsed on the host (Second)
hostTickRate                                 17297171                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     816728                       # Number of bytes of host memory used (Byte)
simInsts                                  14530727515                       # Number of instructions simulated (Count)
simOps                                    23313423164                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86420                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     138654                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10169080652                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.699833                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.428913                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     25119667158                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      562                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    24787124726                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13329                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1806244519                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2192194360                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 199                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10168949735                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.437530                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.041369                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1093529257     10.75%     10.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2791612923     27.45%     38.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2722982961     26.78%     64.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1365411714     13.43%     78.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 558585703      5.49%     83.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 776203651      7.63%     91.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 316708798      3.11%     94.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 237799797      2.34%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 100937895      0.99%     97.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 122562239      1.21%     99.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 52473804      0.52%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 24314804      0.24%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  5524537      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   236039      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    14582      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    49770      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      989      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      263      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        5      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
