
---------- Begin Simulation Statistics ----------
simSeconds                                   2.738035                       # Number of seconds simulated (Second)
simTicks                                 2738034613314                       # Number of ticks simulated (Tick)
finalTick                                2738034613314                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  96528.08                       # Real time elapsed on the host (Second)
hostTickRate                                 28365161                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831236                       # Number of bytes of host memory used (Byte)
simInsts                                   6477538769                       # Number of instructions simulated (Count)
simOps                                     9001919407                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67105                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      93257                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9573547627                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.477961                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.676608                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9039388445                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      345                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9060535819                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44626                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             37469377                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          51110487                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 180                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9573422219                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.946426                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.034010                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                6957732081     72.68%     72.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 761007351      7.95%     80.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 349512365      3.65%     84.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 490729055      5.13%     89.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 291465108      3.04%     92.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 225848911      2.36%     94.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 164640969      1.72%     96.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 113155088      1.18%     97.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  88987015      0.93%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  50582175      0.53%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 36178453      0.38%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 23433463      0.24%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  9155011      0.10%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  5007687      0.05%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2476077      0.03%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                  1524447      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   608824      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                   469275      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                   895357      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     5457      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     8027      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       22      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9573422219                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  913634      0.66%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              26177153     18.84%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    27      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     19.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                3219442      2.32%     21.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     21.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     22      0.00%     21.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc              14667346     10.56%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   26      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     32.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd          20953446     15.08%     47.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     47.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     47.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     47.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     47.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     47.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult         31808098     22.90%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     70.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     70.36% # attempts to use FU when none available (Count)
