
---------- Begin Simulation Statistics ----------
simSeconds                                   2.758300                       # Number of seconds simulated (Second)
simTicks                                 2758299790246                       # Number of ticks simulated (Tick)
finalTick                                2758299790246                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  97198.76                       # Real time elapsed on the host (Second)
hostTickRate                                 28377932                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831600                       # Number of bytes of host memory used (Byte)
simInsts                                   6477534310                       # Number of instructions simulated (Count)
simOps                                     9001909491                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    66642                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      92613                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9644404894                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.488901                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.671636                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9051180038                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      433                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9042656103                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  75175                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             49270969                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          68041275                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 268                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9644282020                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.937618                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.053596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7068381067     73.29%     73.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 788940725      8.18%     81.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 340430963      3.53%     85.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 428059952      4.44%     89.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 276682843      2.87%     92.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 195423514      2.03%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 154173315      1.60%     95.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 135072890      1.40%     97.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 119491641      1.24%     98.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  72366632      0.75%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 17653966      0.18%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 27475032      0.28%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 13710776      0.14%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  6151054      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   232049      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    34891      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      450      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      246      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       10      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
