
---------- Begin Simulation Statistics ----------
simSeconds                                   2.765975                       # Number of seconds simulated (Second)
simTicks                                 2765974791294                       # Number of ticks simulated (Tick)
finalTick                                2765974791294                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  93316.72                       # Real time elapsed on the host (Second)
hostTickRate                                 29640719                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831684                       # Number of bytes of host memory used (Byte)
simInsts                                   6477534310                       # Number of instructions simulated (Count)
simOps                                     9001909491                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    69415                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      96466                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9671240565                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.493044                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.669773                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9048788447                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      452                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9040790904                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  52225                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             46879397                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          65391820                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 287                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9671117279                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.934824                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.066383                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7118483616     73.61%     73.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 800989499      8.28%     81.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 271862843      2.81%     84.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 457806583      4.73%     89.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 253249491      2.62%     92.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 239119284      2.47%     94.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 177344380      1.83%     96.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 105454966      1.09%     97.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  89249623      0.92%     98.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  64381566      0.67%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 39570822      0.41%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 33661747      0.35%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  7082537      0.07%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 12671357      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   164250      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    22187      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     1372      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     1133      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       12      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       10      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                20                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9671117279                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5782095      0.79%      0.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.79% # attempts to use FU when none available (Count)
