
---------- Begin Simulation Statistics ----------
simSeconds                                   2.722844                       # Number of seconds simulated (Second)
simTicks                                 2722844300462                       # Number of ticks simulated (Tick)
finalTick                                2722844300462                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  91784.00                       # Real time elapsed on the host (Second)
hostTickRate                                 29665783                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831468                       # Number of bytes of host memory used (Byte)
simInsts                                   6477538769                       # Number of instructions simulated (Count)
simOps                                     9001919407                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70574                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      98077                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9520434647                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.469761                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.680383                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9041730741                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      371                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     9044623956                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 162661                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             39811668                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          51247696                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 206                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9520313645                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.950034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.886034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                6652799351     69.88%     69.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 826907500      8.69%     78.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 495401002      5.20%     83.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 531216611      5.58%     89.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 405849911      4.26%     93.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 208354523      2.19%     95.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 182215718      1.91%     97.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  41747845      0.44%     98.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  91997160      0.97%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  40640483      0.43%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  9989382      0.10%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 18160680      0.19%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 14429513      0.15%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   498750      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    73584      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    14017      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    17594      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        5      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9520313645                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  254190      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd              50367980     15.96%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     16.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                2184997      0.69%     16.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     16.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     26      0.00%     16.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc              30328136      9.61%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     26.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd          52494751     16.63%     42.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     42.96% # attempts to use FU when none available (Count)
