
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027012                       # Number of seconds simulated (Second)
simTicks                                  27011755628                       # Number of ticks simulated (Tick)
finalTick                                 27011755628                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1969.63                       # Real time elapsed on the host (Second)
hostTickRate                                 13714093                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812052                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   109338                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     190861                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         94446721                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.438560                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.280189                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378795128                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      248                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377904041                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  34789                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2868735                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5084937                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 119                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            94348769                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.005395                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.430924                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4492393      4.76%      4.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11537689     12.23%     16.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16490701     17.48%     34.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7264431      7.70%     42.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  17498474     18.55%     60.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  10952300     11.61%     72.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10768979     11.41%     83.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5777728      6.12%     89.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5197455      5.51%     95.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   3632328      3.85%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   653962      0.69%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    48292      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    16389      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    11946      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     2817      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      769      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     2044      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       72      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                17                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              94348769                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                23179054     99.89%     99.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 11664      0.05%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    79      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      7      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                32      0.00%     99.94% # attempts to use FU when none available (Count)
