
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020490                       # Number of seconds simulated (Second)
simTicks                                  20490369900                       # Number of ticks simulated (Tick)
finalTick                                 20490369900                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2025.47                       # Real time elapsed on the host (Second)
hostTickRate                                 10116358                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811816                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   106326                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     185604                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         71644679                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.332673                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.005953                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       379965224                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      296                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      378574185                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7863                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4030018                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8000608                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 167                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71544163                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.291475                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.874407                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6422586      8.98%      8.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7024030      9.82%     18.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7520116     10.51%     29.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7414785     10.36%     39.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7200197     10.06%     49.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5718309      7.99%     57.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4949576      6.92%     64.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4175643      5.84%     70.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4105931      5.74%     76.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4666565      6.52%     82.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  3997612      5.59%     88.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  3044430      4.26%     92.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2331380      3.26%     95.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  1361772      1.90%     97.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   715779      1.00%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   500056      0.70%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   305108      0.43%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    77933      0.11%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     9023      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     2341      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      806      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                      119      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                       66      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              71544163                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5762450     99.54%     99.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   200      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    51      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      3      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     81      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     70      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    39      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   22      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd              3011      0.05%     99.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     99.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     99.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt               162      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult             7422      0.13%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     99.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     99.73% # attempts to use FU when none available (Count)
