
---------- Begin Simulation Statistics ----------
simSeconds                                   0.033012                       # Number of seconds simulated (Second)
simTicks                                  33012005884                       # Number of ticks simulated (Tick)
finalTick                                 33012005884                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2015.96                       # Real time elapsed on the host (Second)
hostTickRate                                 16375323                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811960                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   106826                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     186475                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        115426617                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.535980                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.865743                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       377699805                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      244                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377239247                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    640                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1773434                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2574022                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 115                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           115326261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.271061                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.374969                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9381453      8.13%      8.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18608470     16.14%     24.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  24316397     21.08%     45.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20839501     18.07%     63.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12897453     11.18%     74.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8348896      7.24%     81.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6389681      5.54%     87.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5300848      4.60%     91.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5742327      4.98%     96.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   2658183      2.30%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   580055      0.50%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   170633      0.15%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    63437      0.06%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    16694      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     5638      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     2613      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     3237      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      476      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       71      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      125      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       73      0.00%    100.00% # Number of insts issued each cycle (Count)
