
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026792                       # Number of seconds simulated (Second)
simTicks                                  26791667474                       # Number of ticks simulated (Tick)
finalTick                                 26791667474                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1986.60                       # Real time elapsed on the host (Second)
hostTickRate                                 13486192                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811868                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   108405                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189231                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         93677183                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.434987                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.298920                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378421803                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      242                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377760404                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    240                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2495435                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3873805                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 113                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            93577515                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.036872                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.974228                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8803047      9.41%      9.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11828604     12.64%     22.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12260910     13.10%     35.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14091238     15.06%     50.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12088621     12.92%     63.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8613406      9.20%     72.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7203998      7.70%     80.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4554330      4.87%     84.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4940649      5.28%     90.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   3676367      3.93%     94.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2708649      2.89%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  1670724      1.79%     98.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   561628      0.60%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   337620      0.36%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   183416      0.20%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    31955      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    22264      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       80      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        7      0.00%    100.00% # Number of insts issued each cycle (Count)
