
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027634                       # Number of seconds simulated (Second)
simTicks                                  27633642608                       # Number of ticks simulated (Tick)
finalTick                                 27633642608                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2084.82                       # Real time elapsed on the host (Second)
hostTickRate                                 13254673                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811816                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   103297                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     180316                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96621153                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.448657                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.228874                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       377694347                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      244                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377261422                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1462                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1767981                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2579342                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 115                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            96520714                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.908606                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.701603                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9386852      9.73%      9.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11443061     11.86%     21.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11790936     12.22%     33.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15079722     15.62%     49.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14065232     14.57%     63.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8764933      9.08%     73.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6979454      7.23%     80.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5984911      6.20%     86.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7160022      7.42%     93.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4191562      4.34%     98.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   874003      0.91%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   334687      0.35%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   375903      0.39%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    52316      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    33654      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     2863      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      540      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       11      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       52      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
