
---------- Begin Simulation Statistics ----------
simSeconds                                   0.031832                       # Number of seconds simulated (Second)
simTicks                                  31832194966                       # Number of ticks simulated (Tick)
finalTick                                 31832194966                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1977.27                       # Real time elapsed on the host (Second)
hostTickRate                                 16099029                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811752                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   108916                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     190124                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        111301405                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.516824                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.934894                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       377283987                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      218                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      376964065                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1079                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1357595                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1915403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           111201477                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.389920                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.481133                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13234602     11.90%     11.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13904864     12.50%     24.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  17280673     15.54%     39.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20986145     18.87%     58.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15506191     13.94%     72.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8646363      7.78%     80.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6687194      6.01%     86.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5818583      5.23%     91.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5337574      4.80%     96.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   2356883      2.12%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   657632      0.59%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   516487      0.46%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   236441      0.21%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    26206      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     4241      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      468      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      794      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                      136      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
