
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021562                       # Number of seconds simulated (Second)
simTicks                                  21562395712                       # Number of ticks simulated (Tick)
finalTick                                 21562395712                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2022.10                       # Real time elapsed on the host (Second)
hostTickRate                                 10663347                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811756                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   106503                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     185913                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         75393022                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.350078                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.856505                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       379492934                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      314                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      378382281                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44428                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3557741                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6049475                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 185                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            75294194                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.025385                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.298208                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4746023      6.30%      6.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7382431      9.80%     16.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8284577     11.00%     27.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12451146     16.54%     43.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5232084      6.95%     50.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5220696      6.93%     57.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4668060      6.20%     63.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3545017      4.71%     68.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6055314      8.04%     76.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  10808257     14.35%     90.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  5847578      7.77%     98.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   507287      0.67%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   192264      0.26%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    77354      0.10%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    42733      0.06%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   213450      0.28%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     9664      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     5259      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     3030      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     1552      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      415      0.00%    100.00% # Number of insts issued each cycle (Count)
