
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021070                       # Number of seconds simulated (Second)
simTicks                                  21069626292                       # Number of ticks simulated (Tick)
finalTick                                 21069626292                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1988.81                       # Real time elapsed on the host (Second)
hostTickRate                                 10594067                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811784                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   108286                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189025                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         73670050                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.342078                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.923312                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       379154934                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      272                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      378211124                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  42591                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3219704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5319346                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 143                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            73569619                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.140860                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.650583                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6317851      8.59%      8.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7228717      9.83%     18.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8349879     11.35%     29.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8878849     12.07%     41.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7477565     10.16%     52.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5257427      7.15%     59.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4142246      5.63%     64.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2928188      3.98%     68.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3500133      4.76%     73.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   7102104      9.65%     83.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  4614252      6.27%     89.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  5538727      7.53%     96.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2044418      2.78%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   124630      0.17%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    33506      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    16748      0.02%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     8930      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     5160      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      209      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       75      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
