
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020379                       # Number of seconds simulated (Second)
simTicks                                  20379148790                       # Number of ticks simulated (Tick)
finalTick                                 20379148790                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2133.83                       # Real time elapsed on the host (Second)
hostTickRate                                  9550504                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811780                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   100927                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     176179                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         71255794                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.330867                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.022358                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       381501540                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      294                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      379657904                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6778                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5566327                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10939209                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 165                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71158135                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.335411                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.986779                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11037559     15.51%     15.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5772233      8.11%     23.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4687503      6.59%     30.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3973118      5.58%     35.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6175179      8.68%     44.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6243053      8.77%     53.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5912473      8.31%     61.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7106370      9.99%     71.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3730352      5.24%     76.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4221592      5.93%     82.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2938051      4.13%     86.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  3344763      4.70%     91.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2299553      3.23%     94.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2364994      3.32%     98.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1197378      1.68%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   130167      0.18%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    16681      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     5192      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1341      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      484      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       73      0.00%    100.00% # Number of insts issued each cycle (Count)
