
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029027                       # Number of seconds simulated (Second)
simTicks                                  29026724584                       # Number of ticks simulated (Tick)
finalTick                                 29026724584                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1893.40                       # Real time elapsed on the host (Second)
hostTickRate                                 15330480                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811468                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   113743                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     198551                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        101492065                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.471266                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.121944                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378273791                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      218                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377657069                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    366                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2338502                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3762902                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           101391480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.724742                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.720803                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10882320     10.73%     10.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10521548     10.38%     21.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16508814     16.28%     37.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18662361     18.41%     55.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11763238     11.60%     67.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8660901      8.54%     75.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6998806      6.90%     82.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5823747      5.74%     88.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4685818      4.62%     93.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   3540704      3.49%     96.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2085087      2.06%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   665192      0.66%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   267608      0.26%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                   289101      0.29%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    26866      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     4107      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     3567      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     1500      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      190      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
