
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021108                       # Number of seconds simulated (Second)
simTicks                                  21108393306                       # Number of ticks simulated (Tick)
finalTick                                 21108393306                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2159.37                       # Real time elapsed on the host (Second)
hostTickRate                                  9775250                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811816                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99733                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     174095                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         73805599                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.342707                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.917943                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       379580530                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      265                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      378509030                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  45054                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3645288                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6148787                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            73707023                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.135318                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.655625                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5934323      8.05%      8.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8063722     10.94%     18.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8593199     11.66%     30.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8507818     11.54%     42.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6990488      9.48%     51.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5068835      6.88%     58.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4393121      5.96%     64.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3779837      5.13%     69.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2587787      3.51%     73.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   7207558      9.78%     82.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  4689339      6.36%     89.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  5751452      7.80%     97.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2006891      2.72%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    88491      0.12%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    25404      0.03%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    10151      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     5430      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     3072      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       45      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       46      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                20                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              73707023                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                12931598     99.78%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   154      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    161      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    115      0.00%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   431      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   22      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     99.79% # attempts to use FU when none available (Count)
