
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019855                       # Number of seconds simulated (Second)
simTicks                                  19855165330                       # Number of ticks simulated (Tick)
finalTick                                 19855165330                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1982.64                       # Real time elapsed on the host (Second)
hostTickRate                                 10014509                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812140                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   108621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189609                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         69423679                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.322366                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.102060                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       380140098                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      277                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      378855079                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7939                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4213760                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7529371                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 148                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            69324131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.464981                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              4.262725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4689431      6.76%      6.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9009798     13.00%     19.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8487702     12.24%     32.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7426962     10.71%     42.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7857445     11.33%     54.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2700426      3.90%     57.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3188006      4.60%     62.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4929272      7.11%     69.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3760815      5.42%     75.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   3808259      5.49%     80.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2367146      3.41%     83.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  2158192      3.11%     87.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  1712033      2.47%     89.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  1734407      2.50%     92.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  5343624      7.71%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    89842      0.13%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    40184      0.06%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    14085      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     4617      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     1548      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      322      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       12      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              69324131                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1325161     97.93%     97.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   143      0.01%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    36      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     97.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     57      0.00%     97.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     97.95% # attempts to use FU when none available (Count)
