
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020371                       # Number of seconds simulated (Second)
simTicks                                  20371308672                       # Number of ticks simulated (Tick)
finalTick                                 20371308672                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2005.44                       # Real time elapsed on the host (Second)
hostTickRate                                 10158024                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812268                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107386                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     187453                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         71228376                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.330747                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.023463                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       381698524                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      288                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      379801324                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6440                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5772197                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11280193                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 159                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71130526                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.339498                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.964751                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11082465     15.58%     15.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5675164      7.98%     23.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4587266      6.45%     30.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3957738      5.56%     35.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6071234      8.54%     44.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6138878      8.63%     52.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6030995      8.48%     61.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7250882     10.19%     71.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3883928      5.46%     76.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4280444      6.02%     82.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2998155      4.22%     87.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  3358646      4.72%     91.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2310062      3.25%     95.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2319680      3.26%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  1048348      1.47%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   113375      0.16%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    16808      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     4818      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1353      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      179      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       76      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                       26      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        6      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                22                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              71130526                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2062955     98.35%     98.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.35% # attempts to use FU when none available (Count)
