
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026640                       # Number of seconds simulated (Second)
simTicks                                  26640247920                       # Number of ticks simulated (Tick)
finalTick                                 26640247920                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2037.29                       # Real time elapsed on the host (Second)
hostTickRate                                 13076301                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811960                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   105707                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     184523                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         93147743                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.432528                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.311987                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378802361                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      256                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377942667                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    386                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2875976                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5067677                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 127                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            93049749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.061727                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.813644                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4680728      5.03%      5.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13202899     14.19%     19.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18273346     19.64%     38.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8392885      9.02%     47.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12613641     13.56%     61.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9789917     10.52%     71.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8127674      8.73%     80.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5059664      5.44%     86.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4157623      4.47%     90.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4037364      4.34%     94.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2753871      2.96%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  1367612      1.47%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   488062      0.52%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    83081      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    15158      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     3407      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     1152      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     1644      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       15      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        6      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              93049749                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   33454     70.08%     70.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     70.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     70.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    35      0.07%     70.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     70.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     70.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     70.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     70.15% # attempts to use FU when none available (Count)
