
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019976                       # Number of seconds simulated (Second)
simTicks                                  19976453068                       # Number of ticks simulated (Tick)
finalTick                                 19976453068                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2055.31                       # Real time elapsed on the host (Second)
hostTickRate                                  9719420                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811892                       # Number of bytes of host memory used (Byte)
simInsts                                    215360524                       # Number of instructions simulated (Count)
simOps                                      375935496                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   104782                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     182909                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         69847768                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.324329                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.083284                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       380772083                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      319                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      379162394                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9797                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4836882                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           9300608                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 190                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            69749586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.436052                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              4.015221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2619925      3.76%      3.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12207741     17.50%     21.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9901547     14.20%     35.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3873768      5.55%     41.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3395607      4.87%     45.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8005337     11.48%     57.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4516664      6.48%     63.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2915279      4.18%     68.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3839700      5.50%     73.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4683241      6.71%     80.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  3134418      4.49%     84.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  3334341      4.78%     89.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                  2149660      3.08%     92.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  4744827      6.80%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   390629      0.56%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                    21652      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     8857      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     4560      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1083      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      484      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                      260      0.00%    100.00% # Number of insts issued each cycle (Count)
