
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027519                       # Number of seconds simulated (Second)
simTicks                                  27519405342                       # Number of ticks simulated (Tick)
finalTick                                 27519405342                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2083.29                       # Real time elapsed on the host (Second)
hostTickRate                                 13209574                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     809112                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   103373                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     180448                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96221700                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.446802                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.238127                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378846338                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      246                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377928900                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11277                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2919961                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5495089                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 117                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            96118288                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.931915                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.211908                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4376109      4.55%      4.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11186685     11.64%     16.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16005976     16.65%     32.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9914196     10.31%     43.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13669595     14.22%     57.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14420388     15.00%     72.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  12333176     12.83%     85.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10155831     10.57%     95.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3396300      3.53%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    653238      0.68%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     6794      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              96118288                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13748144     97.27%     97.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1024      0.01%     97.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.27% # attempts to use FU when none available (Count)
