
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026643                       # Number of seconds simulated (Second)
simTicks                                  26642851378                       # Number of ticks simulated (Tick)
finalTick                                 26642851378                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2424.72                       # Real time elapsed on the host (Second)
hostTickRate                                 10987997                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811980                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88817                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     155039                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         93156846                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.432571                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.311761                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378823821                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      265                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377958385                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    335                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2897445                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5102970                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            93059251                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.061481                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.813488                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4684575      5.03%      5.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13207345     14.19%     19.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18268423     19.63%     38.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8394494      9.02%     47.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12612529     13.55%     61.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9792700     10.52%     71.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8130049      8.74%     80.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5061651      5.44%     86.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4160654      4.47%     90.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4036165      4.34%     94.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                  2751183      2.96%     97.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                  1367136      1.47%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                   488141      0.52%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    82983      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                    15062      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     3389      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     1124      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     1627      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        7      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              93059251                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
