
---------- Begin Simulation Statistics ----------
simSeconds                                   0.024981                       # Number of seconds simulated (Second)
simTicks                                  24981076978                       # Number of ticks simulated (Tick)
finalTick                                 24981076978                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2143.01                       # Real time elapsed on the host (Second)
hostTickRate                                 11656978                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811876                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   100492                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     175419                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                         87346443                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.405590                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.465543                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378503820                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      245                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377755172                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24045                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2577450                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4327135                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 116                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            87246044                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.329768                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.759831                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7687187      8.81%      8.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7423633      8.51%     17.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11419503     13.09%     30.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11663193     13.37%     43.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9605778     11.01%     54.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8308704      9.52%     64.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8288878      9.50%     73.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7629995      8.75%     82.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9202924     10.55%     93.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   4822309      5.53%     98.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   896208      1.03%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   198771      0.23%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    76234      0.09%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    16129      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     4002      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     1843      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      652      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       54      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       46      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              87246044                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                25534418     99.70%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.70% # attempts to use FU when none available (Count)
