
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029440                       # Number of seconds simulated (Second)
simTicks                                  29439772362                       # Number of ticks simulated (Tick)
finalTick                                 29439772362                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2041.03                       # Real time elapsed on the host (Second)
hostTickRate                                 14423985                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811860                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   105514                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     184185                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        102936287                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.477981                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.092133                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378785918                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      236                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377815806                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11468                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2859513                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5641905                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 107                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           102836616                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.673942                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.519853                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7107345      6.91%      6.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14398822     14.00%     20.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  20193256     19.64%     40.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15220471     14.80%     55.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  11668512     11.35%     66.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8847471      8.60%     75.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7189836      6.99%     82.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7146589      6.95%     89.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7270226      7.07%     96.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   3041044      2.96%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   602086      0.59%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    95425      0.09%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    36685      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                    14608      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     3226      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      812      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      150      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       35      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        9      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
