
---------- Begin Simulation Statistics ----------
simSeconds                                   0.032043                       # Number of seconds simulated (Second)
simTicks                                  32042877724                       # Number of ticks simulated (Tick)
finalTick                                 32042877724                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2102.96                       # Real time elapsed on the host (Second)
hostTickRate                                 15237045                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812008                       # Number of bytes of host memory used (Byte)
simInsts                                    215356394                       # Number of instructions simulated (Count)
simOps                                      375926604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   102406                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     178761                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                        112038055                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.520245                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.922172                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       378935381                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      243                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      377859410                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8314                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3009014                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6270045                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 114                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           111940971                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.375524                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.452049                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9504481      8.49%      8.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18950597     16.93%     25.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  22197559     19.83%     45.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  16116465     14.40%     59.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13163119     11.76%     71.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8807638      7.87%     79.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6378471      5.70%     84.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7090423      6.33%     91.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6764556      6.04%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   2387137      2.13%     99.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   452197      0.40%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                   100790      0.09%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    21759      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     4110      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     1275      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      225      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      134      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       31      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                18                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             111940971                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                19194138     99.59%     99.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 67594      0.35%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    87      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.94% # attempts to use FU when none available (Count)
