
---------- Begin Simulation Statistics ----------
simSeconds                                   1.697972                       # Number of seconds simulated (Second)
simTicks                                 1697971585596                       # Number of ticks simulated (Tick)
finalTick                                1697971585596                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  85241.72                       # Real time elapsed on the host (Second)
hostTickRate                                 19919489                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831756                       # Number of bytes of host memory used (Byte)
simInsts                                   3197277237                       # Number of instructions simulated (Count)
simOps                                     5678810151                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    37508                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      66620                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       5936963634                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.856881                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.538537                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      9717820203                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      493                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     8742229870                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1819295                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4039010539                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        6918140471                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 253                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5936825580                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.472543                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.579911                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3531683919     59.49%     59.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 779211223     13.13%     72.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 390973781      6.59%     79.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 283178082      4.77%     83.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 213106413      3.59%     87.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 188532181      3.18%     90.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 129883476      2.19%     92.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 103392139      1.74%     94.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  73837412      1.24%     95.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                 106048044      1.79%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 61298677      1.03%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 50021716      0.84%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 12513935      0.21%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                 10008183      0.17%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                  2470138      0.04%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   528372      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                    96698      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    29460      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     6425      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                     3923      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                     1214      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                      169      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                21                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5936825580                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                24077321     75.61%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    12      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    41      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  87100      0.27%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     98      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   133      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   39      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     75.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     75.88% # attempts to use FU when none available (Count)
