
---------- Begin Simulation Statistics ----------
simSeconds                                   1.837274                       # Number of seconds simulated (Second)
simTicks                                 1837273774908                       # Number of ticks simulated (Tick)
finalTick                                1837273774908                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  74521.76                       # Real time elapsed on the host (Second)
hostTickRate                                 24654193                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     831268                       # Number of bytes of host memory used (Byte)
simInsts                                   3197281381                       # Number of instructions simulated (Count)
simOps                                     5678819075                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    42904                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      76204                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           286                       # Clock period in ticks (Tick)
system.cpu.numCycles                       6424034194                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.009218                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.497706                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      8790602346                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      454                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     8120271957                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 332382                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           3111783714                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        4856566145                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 214                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          6423896128                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.264073                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.298134                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3966632505     61.75%     61.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 812395049     12.65%     74.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 502588710      7.82%     82.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 278364189      4.33%     86.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 220394634      3.43%     89.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 185851597      2.89%     92.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 131439409      2.05%     94.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  88600682      1.38%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  54603448      0.85%     97.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                  83725787      1.30%     98.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                 54269219      0.84%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                 31170188      0.49%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                 10031307      0.16%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                  2578451      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                   812599      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                   294976      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                   130491      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                    11289      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                     1487      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                       89      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                       14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                21                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            6423896128                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3640550     14.17%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    57      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    45      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     14.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     14.17% # attempts to use FU when none available (Count)
